epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,2641.1,0.26395,0.33041,0.84577,0.99197,0.98804,0.99047,0.98272,0.19759,0.16174,0.76696,0.000264085,0.000264085,0.000264085
156,2655.99,0.26495,0.31879,0.84597,0.98576,0.99753,0.99067,0.98549,0.19426,0.15404,0.76665,0.000258585,0.000258585,0.000258585
157,2672.25,0.26302,0.32024,0.84802,0.99137,0.98958,0.99057,0.98468,0.19629,0.16264,0.7661,0.000253086,0.000253086,0.000253086
158,2687.04,0.26711,0.32444,0.85653,0.98982,0.98936,0.99037,0.98727,0.1929,0.16353,0.76485,0.000247586,0.000247586,0.000247586
159,2702.9,0.27063,0.3371,0.86102,0.99276,0.98881,0.98987,0.98469,0.19562,0.16401,0.76606,0.000242087,0.000242087,0.000242087
160,2719.02,0.26998,0.34058,0.84825,0.99095,0.98867,0.98955,0.98005,0.20288,0.1784,0.76832,0.000236587,0.000236587,0.000236587
161,2737.13,0.2707,0.3185,0.8553,0.98799,0.9873,0.9891,0.97968,0.20134,0.18193,0.76869,0.000231088,0.000231088,0.000231088
162,2753.78,0.26073,0.29808,0.84833,0.98726,0.9873,0.98909,0.9838,0.19808,0.17811,0.76853,0.000225589,0.000225589,0.000225589
163,2773.5,0.2615,0.31022,0.84477,0.98941,0.9873,0.98947,0.98388,0.1931,0.17124,0.76718,0.000220089,0.000220089,0.000220089
164,2790.94,0.26518,0.31522,0.85725,0.99208,0.9873,0.99036,0.98518,0.19172,0.16586,0.76617,0.00021459,0.00021459,0.00021459
165,2811.07,0.26621,0.31465,0.84904,0.99269,0.9873,0.99006,0.98395,0.19712,0.17223,0.76615,0.00020909,0.00020909,0.00020909
166,2827.04,0.27369,0.31299,0.84846,0.99336,0.9876,0.99009,0.9833,0.19979,0.17021,0.76574,0.000203591,0.000203591,0.000203591
167,2847.05,0.26241,0.30517,0.85333,0.9927,0.98764,0.99027,0.98254,0.19956,0.16637,0.76576,0.000198091,0.000198091,0.000198091
